Pacific Island Countries and territories,Urbanization,Occupation,TIME_PERIOD,OBS_VALUE
Tuvalu,National,Managers,2015,1.2
Tuvalu,National,Craft and Related Trades Workers,2015,0.71
Tuvalu,National,"Skilled Agricultural, Forestry and Fishery Workers",2015,0.38
Tuvalu,National,Professionals,2015,0.93
Tuvalu,National,Clerical Support Workers,2015,1.14
Tuvalu,National,Technicians and Associate Professionals,2015,1.7
Tuvalu,National,Services and Sales Workers,2015,0.6
Tuvalu,National,Elementary Occupations,2015,0.66
Tuvalu,Rural,Elementary Occupations,2015,0.66
Tuvalu,Rural,Plant and Machine Operators and Assemblers,2015,0.53
Tuvalu,Rural,Professionals,2015,0.93
Tuvalu,Rural,Managers,2015,1.2
Tuvalu,Rural,Craft and Related Trades Workers,2015,0.71
Tuvalu,Rural,Services and Sales Workers,2015,0.6
Tuvalu,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2015,0.38
Tuvalu,Rural,Clerical Support Workers,2015,1.14
Tuvalu,Rural,Technicians and Associate Professionals,2015,1.7
Tuvalu,Rural,All occupations,2015,0.82
Tuvalu,Urban,Professionals,2015,0.93
Tuvalu,Urban,Clerical Support Workers,2015,1.14
Tuvalu,Urban,"Skilled Agricultural, Forestry and Fishery Workers",2015,0.38
Tuvalu,Urban,Plant and Machine Operators and Assemblers,2015,0.53
Tuvalu,Urban,Elementary Occupations,2015,0.66
Tuvalu,Urban,Craft and Related Trades Workers,2015,0.71
Tuvalu,Urban,Technicians and Associate Professionals,2015,1.7
Tuvalu,Urban,Managers,2015,1.2
Tuvalu,Urban,All occupations,2015,0.85
Tuvalu,Urban,Services and Sales Workers,2015,0.6
Kiribati,National,Technicians and Associate Professionals,2019,0.43
Kiribati,National,Clerical Support Workers,2019,0.47
Kiribati,National,Professionals,2019,0.96
Kiribati,National,Managers,2019,1.1
Kiribati,National,Elementary Occupations,2019,0.96
Kiribati,National,All occupations,2019,1.12
Kiribati,National,Craft and Related Trades Workers,2019,0.89
Kiribati,National,Services and Sales Workers,2019,1.97
Kiribati,National,"Skilled Agricultural, Forestry and Fishery Workers",2019,0.2
Kiribati,Rural,Clerical Support Workers,2019,0.47
Kiribati,Rural,Technicians and Associate Professionals,2019,0.43
Kiribati,Rural,Services and Sales Workers,2019,1.97
Kiribati,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2019,0.2
Kiribati,Rural,Professionals,2019,0.96
Kiribati,Rural,Elementary Occupations,2019,0.96
Kiribati,Rural,Craft and Related Trades Workers,2019,0.89
Kiribati,Rural,All occupations,2019,1.11
Kiribati,Rural,Managers,2019,1.1
Kiribati,Urban,Craft and Related Trades Workers,2019,0.89
Kiribati,Urban,Elementary Occupations,2019,0.96
Kiribati,Urban,Managers,2019,1.1
Kiribati,Urban,All occupations,2019,1.13
Kiribati,Urban,Services and Sales Workers,2019,1.97
Kiribati,Urban,Technicians and Associate Professionals,2019,0.43
Kiribati,Urban,Professionals,2019,0.96
Kiribati,Urban,Clerical Support Workers,2019,0.47
Kiribati,Urban,"Skilled Agricultural, Forestry and Fishery Workers",2019,0.2
Marshall Islands,National,Craft and Related Trades Workers,2019,0.87
Marshall Islands,National,All occupations,2019,1.4
Marshall Islands,National,Armed Forces Occupations,2019,1.67
Marshall Islands,National,Elementary Occupations,2019,0.81
Marshall Islands,National,Plant and Machine Operators and Assemblers,2019,1.26
Marshall Islands,National,Managers,2019,1.45
Marshall Islands,National,Services and Sales Workers,2019,0.85
Marshall Islands,National,Technicians and Associate Professionals,2019,1.48
Marshall Islands,National,Professionals,2019,1.11
Marshall Islands,National,Clerical Support Workers,2019,0.96
Marshall Islands,Rural,Managers,2019,1.45
Marshall Islands,Rural,Professionals,2019,1.11
Marshall Islands,Rural,Craft and Related Trades Workers,2019,0.87
Marshall Islands,Rural,Elementary Occupations,2019,0.81
Marshall Islands,Rural,Clerical Support Workers,2019,0.96
Marshall Islands,Rural,Services and Sales Workers,2019,0.85
Marshall Islands,Rural,All occupations,2019,1.2
Marshall Islands,Rural,Technicians and Associate Professionals,2019,1.48
Marshall Islands,Urban,Clerical Support Workers,2019,0.96
Marshall Islands,Urban,Technicians and Associate Professionals,2019,1.48
Marshall Islands,Urban,Professionals,2019,1.11
Marshall Islands,Urban,Plant and Machine Operators and Assemblers,2019,1.26
Marshall Islands,Urban,Armed Forces Occupations,2019,1.67
Marshall Islands,Urban,All occupations,2019,1.5
Marshall Islands,Urban,Services and Sales Workers,2019,0.85
Marshall Islands,Urban,Managers,2019,1.45
Marshall Islands,Urban,Elementary Occupations,2019,0.81
Marshall Islands,Urban,Craft and Related Trades Workers,2019,0.87
Vanuatu,National,Services and Sales Workers,2019,0.96
Vanuatu,National,Clerical Support Workers,2019,0.86
Vanuatu,National,"Skilled Agricultural, Forestry and Fishery Workers",2019,1.2
Vanuatu,National,Not allocated/unspecified,2019,1.14
Vanuatu,National,Craft and Related Trades Workers,2019,1.0
Vanuatu,National,Managers,2019,0.84
Vanuatu,National,Elementary Occupations,2019,0.93
Vanuatu,National,Professionals,2019,0.75
Vanuatu,National,Plant and Machine Operators and Assemblers,2019,1.0
Vanuatu,National,All occupations,2019,0.97
Vanuatu,National,Technicians and Associate Professionals,2019,1.0
Vanuatu,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2019,1.2
Vanuatu,Rural,Craft and Related Trades Workers,2019,1.0
Vanuatu,Rural,All occupations,2019,0.98
Vanuatu,Rural,Services and Sales Workers,2019,0.96
Vanuatu,Rural,Plant and Machine Operators and Assemblers,2019,1.0
Vanuatu,Rural,Technicians and Associate Professionals,2019,1.0
Vanuatu,Rural,Not allocated/unspecified,2019,1.14
Vanuatu,Rural,Managers,2019,0.84
Vanuatu,Rural,Elementary Occupations,2019,0.93
Vanuatu,Rural,Professionals,2019,0.75
Vanuatu,Rural,Clerical Support Workers,2019,0.86
Vanuatu,Urban,Elementary Occupations,2019,0.93
Vanuatu,Urban,Not allocated/unspecified,2019,1.14
Vanuatu,Urban,All occupations,2019,0.95
Vanuatu,Urban,Technicians and Associate Professionals,2019,1.0
Vanuatu,Urban,Managers,2019,0.84
Vanuatu,Urban,Craft and Related Trades Workers,2019,1.0
Vanuatu,Urban,Services and Sales Workers,2019,0.96
Vanuatu,Urban,Clerical Support Workers,2019,0.86
Vanuatu,Urban,"Skilled Agricultural, Forestry and Fishery Workers",2019,1.2
Vanuatu,Urban,Plant and Machine Operators and Assemblers,2019,1.0
Vanuatu,Urban,Professionals,2019,0.75
Tonga,National,Managers,2021,0.91
Tonga,National,Elementary Occupations,2021,0.81
Tonga,National,Professionals,2021,0.97
Tonga,National,Plant and Machine Operators and Assemblers,2021,0.42
Tonga,National,Armed Forces Occupations,2021,0.83
Tonga,National,"Skilled Agricultural, Forestry and Fishery Workers",2021,2.6
Tonga,National,Clerical Support Workers,2021,0.99
Tonga,National,Services and Sales Workers,2021,1.2
Tonga,National,All occupations,2021,0.95
Tonga,National,Craft and Related Trades Workers,2021,0.82
Tonga,National,Technicians and Associate Professionals,2021,0.89
Tonga,Rural,Professionals,2021,0.97
Tonga,Rural,Elementary Occupations,2021,0.81
Tonga,Rural,Craft and Related Trades Workers,2021,0.82
Tonga,Rural,Technicians and Associate Professionals,2021,0.89
Tonga,Rural,Services and Sales Workers,2021,1.2
Tonga,Rural,Managers,2021,0.91
Tonga,Rural,All occupations,2021,0.96
Tonga,Rural,"Skilled Agricultural, Forestry and Fishery Workers",2021,2.6
Tonga,Rural,Clerical Support Workers,2021,0.99
Tonga,Rural,Plant and Machine Operators and Assemblers,2021,0.42
Tonga,Rural,Armed Forces Occupations,2021,0.83
Tonga,Urban,"Skilled Agricultural, Forestry and Fishery Workers",2021,2.6
Tonga,Urban,Services and Sales Workers,2021,1.2
Tonga,Urban,Clerical Support Workers,2021,0.99
Tonga,Urban,All occupations,2021,0.91
Tonga,Urban,Craft and Related Trades Workers,2021,0.82
Tonga,Urban,Elementary Occupations,2021,0.81
Tonga,Urban,Professionals,2021,0.97
Tonga,Urban,Managers,2021,0.91
Tonga,Urban,Armed Forces Occupations,2021,0.83
Tonga,Urban,Technicians and Associate Professionals,2021,0.89
Tonga,Urban,Plant and Machine Operators and Assemblers,2021,0.42
