STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,EDUCATION,Education level,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PD,Persons with disability,2,Lower secondary education,2020,,1929,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PD,Persons with disability,3,Upper secondary education,2020,,655,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PD,Persons with disability,4,Post-secondary non-tertiary education,2020,,41,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PD,Persons with disability,5-8,Tertiary education,2020,,61,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PD,Persons with disability,9,Level not stated,2020,,110,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PWD,Persons without disability,_T,All education levels,2020,,48914,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PWD,Persons without disability,0,Early childhood education,2020,,1209,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PWD,Persons without disability,1,Primary education,2020,,5345,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PWD,Persons without disability,2,Lower secondary education,2020,,18567,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PWD,Persons without disability,3,Upper secondary education,2020,,20165,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PWD,Persons without disability,4,Post-secondary non-tertiary education,2020,,915,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PWD,Persons without disability,5-8,Tertiary education,2020,,1783,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,_T,National,PWD,Persons without disability,9,Level not stated,2020,,930,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,_T,All education levels,2020,,31822,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,0,Early childhood education,2020,,978,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,1,Primary education,2020,,3103,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,2,Lower secondary education,2020,,10892,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,3,Upper secondary education,2020,,13957,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,696,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,5-8,Tertiary education,2020,,1474,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,_T,No breakdown by disability,9,Level not stated,2020,,722,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,_T,All education levels,2020,,2424,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,0,Early childhood education,2020,,273,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,1,Primary education,2020,,518,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,2,Lower secondary education,2020,,1077,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,3,Upper secondary education,2020,,412,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,4,Post-secondary non-tertiary education,2020,,30,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,5-8,Tertiary education,2020,,47,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PD,Persons with disability,9,Level not stated,2020,,67,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,_T,All education levels,2020,,29398,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,0,Early childhood education,2020,,705,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,1,Primary education,2020,,2585,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,2,Lower secondary education,2020,,9815,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,3,Upper secondary education,2020,,13545,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,4,Post-secondary non-tertiary education,2020,,666,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,5-8,Tertiary education,2020,,1427,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,U,Urban,PWD,Persons without disability,9,Level not stated,2020,,655,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,_T,All education levels,2020,,21608,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,0,Early childhood education,2020,,826,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,1,Primary education,2020,,3367,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,2,Lower secondary education,2020,,9604,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,3,Upper secondary education,2020,,6863,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,260,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,5-8,Tertiary education,2020,,370,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,_T,No breakdown by disability,9,Level not stated,2020,,318,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,_T,All education levels,2020,,2092,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,0,Early childhood education,2020,,322,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,1,Primary education,2020,,607,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,2,Lower secondary education,2020,,852,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,3,Upper secondary education,2020,,243,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,4,Post-secondary non-tertiary education,2020,,11,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,5-8,Tertiary education,2020,,14,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PD,Persons with disability,9,Level not stated,2020,,43,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,_T,All education levels,2020,,19516,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,0,Early childhood education,2020,,504,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,1,Primary education,2020,,2760,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,2,Lower secondary education,2020,,8752,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,3,Upper secondary education,2020,,6620,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,4,Post-secondary non-tertiary education,2020,,249,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,5-8,Tertiary education,2020,,356,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,_T,All ages,R,Rural,PWD,Persons without disability,9,Level not stated,2020,,275,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2020,,42005,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2020,,936,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2020,,3520,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2020,,14760,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2020,,19708,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,822,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2020,,1550,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2020,,709,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,_T,All education levels,2020,,1854,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,0,Early childhood education,2020,,197,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,1,Primary education,2020,,299,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,2,Lower secondary education,2020,,811,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,3,Upper secondary education,2020,,463,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,4,Post-secondary non-tertiary education,2020,,25,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,5-8,Tertiary education,2020,,25,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PD,Persons with disability,9,Level not stated,2020,,34,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PWD,Persons without disability,_T,All education levels,2020,,40151,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PWD,Persons without disability,0,Early childhood education,2020,,739,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PWD,Persons without disability,1,Primary education,2020,,3221,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PWD,Persons without disability,2,Lower secondary education,2020,,13949,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PWD,Persons without disability,3,Upper secondary education,2020,,19245,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PWD,Persons without disability,4,Post-secondary non-tertiary education,2020,,797,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PWD,Persons without disability,5-8,Tertiary education,2020,,1525,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,_T,National,PWD,Persons without disability,9,Level not stated,2020,,675,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,_T,Total,Y25T54,25-54,U,Urban,_T,No breakdown by disability,_T,All education levels,2020,,25492,,N,units,,,,,,,,,,
